branch_code,branch_name
AGR,AGRICULTURAL ENGINEERING
AI,ARTIFICIAL INTELLIGENCE
AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE
AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING
ASE,AEROSPACE ENGINEERING
AUT,AUTOMOBILE ENGINEERING
BDT,DAIRY TECHNOLOGY
BIO,BIO-TECHNOLOGY
CAD,CSE (ARTIFICIAL INTELLIGENCE & DATA SCIENCE)
CAI,COMP. SCI. AND ENGG. (ARTIFICIAL INTELLIGENCE)
CBA,COMPUTER SCIENCE ENGINEERING (BIG DATA ANALYTICS)
CBC,CSE - BLOCK CHAIN
CCC,CSE WITH SPECIALISATION IN CLOUD COMPUTING
CCT,CONSTRUCTION TECHNOLOGY
CDA,CSE - DATA ANALYTICS
CHE,CHEMICAL ENGINEERING
CIA,CSE WITH SPL IN IOT & AUTOMATION
CIC,CSE (IOT & CYBER SECURITY WITH BLOCK CHAIN TECH)
CIT,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY
CIV,CIVIL ENGINEERING
CN,COMPUTER NETWORKING
CS,CYBER SECURITY
CSB,COMPUTER SCIENCE AND BUSINESS SYSTEMS
CSBS,COMPUTER SCIENCE AND BIOSCIENCES
CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)
CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)
CSE,COMPUTER SCIENCE AND ENGINEERING
CSEB,COMPUTER SCIENCE AND ENGG & BUSINESS SYSTEMS
CSED,CSE - DEVOPS
CSG,COMPUTER SCIENCE AND DESIGN
CSM,CSE (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
CSO,COMPUTER SCIENCE AND ENGINEERING (IOT)
CSS,COMPUTER SCIENCE AND SYSTEMS ENGINEERING
CST,COMPUTER SCIENCE AND TECHNOLOGY
CSW,COMPUTER ENGINEERING (SOFTWARE ENGINEERING)
CTM,CONSTRUCTION TECHNOLOGY AND MANAGEMENT
DS,DATA SCIENCE
DTD,DIGITAL TECHNIQUES FOR DESIGN AND PLANNING
EBM,ELECTRONICS AND COMMUNICATION ENGINEERING (BIO MEDICAL ENGG)
ECA,ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY)
ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
ECES,ELECTRONICS AND COMMUNICATION ENGINEERING - EMBEDDED SYSTEMS
ECM,ELECTRONICS AND COMPUTER ENGINEERING
ECT,ELECTRONICS AND COMMUNICATION TECHNOLOGY
ECV,ELECTRONICS AND COMMUNICATION ENGINEERING - VLSI DESIGN
EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
EIE,ELECTRONICS AND INSTRUMENTATION ENGINEERING
EII,ELECTRONICS AND COMMUNICATION ENGINEERING (INDUSTRY INTEGRATED)
ENV,ENVIRONMENTAL ENGINEERING
EVT,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY)
FDE,FOOD ENGINEERING
FDT,FOOD TECHNOLOGY
FSP,FACILITIES AND SERVICES PLANNING
GDT,GAME DESIGN TECHNOLOGY
GIN,GEO-INFORMATICS
INF,INFORMATION TECHNOLOGY
IOT,INTERNET OF THINGS (IOT)
IST,INSTRUMENTATION ENGINEERING AND TECHNOLOGY
MAD,MECHANICAL AUTOMOTIVE DESIGN
MAU,MECHANICAL ENGINEERING (AUTOMOBILE)
MEC,MECHANICAL ENGINEERING
MET,METALLURGICAL ENGINEERING
MII,MECHANICAL ENGINEERING (INDUSTRY INTEGRATED)
MIN,MINING ENGINEERING
MMM,MECHANICAL AND MECHATRONICS ENGINEERING (ADDITIVE MANUFACTURING)
MMT,METALLURGY AND MATERIAL TECHNOLOGY
MRB,MECHANICAL ENGINEERING (ROBOTICS)
NAM,NAVAL ARCHITECTURE AND MARINE ENGINEERING
PEE,PETROLEUM ENGINEERING
PET,PETROLEUM TECHNOLOGY
PHD,PHARM.D (MPC STREAM)
PHE,PHARMACEUTICAL ENGINEERING
PHM,PHARMACY (MPC STREAM)
PLG,TOWN PLANNING
QC,QUANTUM COMPUTING
RBT,ROBOTICS
SWE,SOFTWARE ENGINEERING
TPLG,TOWN PLANNING
