exam,branch_raw,branch_clean,n_rows,n_colleges,status,existing_branch_id,suggested_primary_branch,note
AP-EAPCET,CAD,CSE (Artificial Intelligence & Data Science),453,21,NEW,,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CAD (official course list)
AP-EAPCET,CSM,CSE (Artificial Intelligence And Machine Learning),2656,125,NEW,,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CSM (official course list)
AP-EAPCET,CIC,CSE (IoT & Cyber Security With Block Chain Tech),328,14,NEW,,Cyber Security,expanded from EAPCET code CIC (official course list)
AP-EAPCET,CBC,CSE - Block Chain,34,1,NEW,,Cyber Security,expanded from EAPCET code CBC (official course list)
AP-EAPCET,CDA,CSE - Data Analytics,36,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CDA (official course list)
AP-EAPCET,CSED,CSE - Devops,29,1,NEW,,Computer Science and Engineering,expanded from EAPCET code CSED (official course list)
AP-EAPCET,CCC,CSE With Specialisation In Cloud Computing,83,3,NEW,,Computer Science and Engineering,expanded from EAPCET code CCC (official course list)
AP-EAPCET,CIA,CSE With Spl In IoT & Automation,20,1,NEW,,Computer Science and Engineering,expanded from EAPCET code CIA (official course list)
AP-EAPCET,CAI,Comp. Sci. And Engg.. (Artificial Intelligence),1042,52,NEW,,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CAI (official course list)
AP-EAPCET,CN,Computer Networking,34,1,NEW,,Computer Science and Engineering,expanded from EAPCET code CN (official course list)
AP-EAPCET,CSBS,Computer Science And Biosciences,36,1,NEW,,Computer Science and Engineering,expanded from EAPCET code CSBS (official course list)
AP-EAPCET,CSEB,Computer Science And Engg. & Business Systems,20,1,NEW,,Computer Science and Engineering,expanded from EAPCET code CSEB (official course list)
AP-EAPCET,CSC,Computer Science And Engineering (Cyber Security),674,32,NEW,,Cyber Security,expanded from EAPCET code CSC (official course list)
AP-EAPCET,CSS,Computer Science And Systems Engineering,19,1,NEW,,Computer Science and Engineering,expanded from EAPCET code CSS (official course list)
AP-EAPCET,CBA,Computer Science Engineering (Big Data Analytics),18,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CBA (official course list)
AP-EAPCET,BDT,Dairy Technology,38,1,NEW,,Dairy Technology,expanded from EAPCET code BDT (official course list)
AP-EAPCET,DTD,Digital Techniques For Design And Planning,9,1,NEW,,Planning,expanded from EAPCET code DTD (official course list)
AP-EAPCET,ECE,Electronics And Communication Engineering,4218,213,NEW,,Electronics and Communication Engineering,expanded from EAPCET code ECE (official course list)
AP-EAPCET,EBM,Electronics And Communication Engineering (Bio Medical Engg.),4,1,NEW,,Electronics and Communication Engineering,expanded from EAPCET code EBM (official course list)
AP-EAPCET,EII,Electronics And Communication Engineering (Industry Integrated),56,2,NEW,,Electronics and Communication Engineering,expanded from EAPCET code EII (official course list)
AP-EAPCET,ECES,Electronics And Communication Engineering - Embedded Systems,36,1,NEW,,Electronics and Communication Engineering,expanded from EAPCET code ECES (official course list)
AP-EAPCET,ECV,Electronics And Communication Engineering - Vlsi Design,36,1,NEW,,Electronics and Communication Engineering,expanded from EAPCET code ECV (official course list)
AP-EAPCET,ECT,Electronics And Communication Technology,20,1,NEW,,Electronics and Communication Engineering,expanded from EAPCET code ECT (official course list)
AP-EAPCET,EIE,Electronics And Instrumentation Engineering,57,2,NEW,,Electronics Engineering,expanded from EAPCET code EIE (official course list)
AP-EAPCET,EVT,Electronics Engineering (Vlsi Design And Technology),74,4,NEW,,Electronics and Communication Engineering,expanded from EAPCET code EVT (official course list)
AP-EAPCET,GDT,Game Design Technology,18,1,NEW,,Design,expanded from EAPCET code GDT (official course list)
AP-EAPCET,GIN,Geo-Informatics,20,1,NEW,,Computer Science and Engineering,expanded from EAPCET code GIN (official course list)
AP-EAPCET,IST,Instrumentation Engineering And Technology,20,1,NEW,,Instrumentation Engineering,expanded from EAPCET code IST (official course list)
AP-EAPCET,MMM,Mechanical And Mechatronics Engineering (Additive Manufacturing),36,1,NEW,,Mechatronics,expanded from EAPCET code MMM (official course list)
AP-EAPCET,MAD,Mechanical Automotive Design,37,1,NEW,,Mechanical Engineering,expanded from EAPCET code MAD (official course list)
AP-EAPCET,MAU,Mechanical Engineering (Automobile),36,1,NEW,,Mechanical Engineering,expanded from EAPCET code MAU (official course list)
AP-EAPCET,MII,Mechanical Engineering (Industry Integrated),18,1,NEW,,Mechanical Engineering,expanded from EAPCET code MII (official course list)
AP-EAPCET,MRB,Mechanical Engineering (Robotics),56,2,NEW,,Mechanical Engineering,expanded from EAPCET code MRB (official course list)
AP-EAPCET,MET,Metallurgical Engineering,41,2,NEW,,Metallurgical and Materials Engineering,expanded from EAPCET code MET (official course list)
AP-EAPCET,NAM,Naval Architecture And Marine Engineering,22,1,NEW,,Architecture,expanded from EAPCET code NAM (official course list)
AP-EAPCET,PET,Petroleum Technology,36,1,NEW,,Chemical Engineering,expanded from EAPCET code PET (official course list)
AP-EAPCET,PHD,Pharm.D (Mpc Stream),243,15,NEW,,Pharmacy,expanded from EAPCET code PHD (official course list)
AP-EAPCET,PHM,Pharmacy (Mpc Stream),297,18,NEW,,Pharmacy,expanded from EAPCET code PHM (official course list)
AP-EAPCET,QC,Quantum Computing,20,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code QC (official course list)
AP-EAPCET,SWE,Software Engineering,36,1,NEW,,Computer Science and Engineering,expanded from EAPCET code SWE (official course list)
AP-EAPCET,PLG,Town Planning,18,1,NEW,,Planning,expanded from EAPCET code PLG (official course list)
CLAT,B.A. LL.B. (Hons.),B.A. LL.B. (Hons.),328,26,NEW,,Law,
CLAT,B.B.A. LL.B. (Hons.),B.B.A. LL.B. (Hons.),90,8,NEW,,Law,
CLAT,B.Com. LL.B. (Hons.),B.Com. LL.B. (Hons.),15,1,NEW,,Law,
CLAT,B.Sc. LL.B. (Hons.) Criminology and Forensic Science,B.Sc. LL.B. (Hons.) Criminology and Forensic Science,10,1,NEW,,Law,
CLAT,B.Sc. LL.B. (Hons.) Cyber Security,B.Sc. LL.B. (Hons.) Cyber Security,11,1,NEW,,Cyber Security,
CollegeFees,AERO SPACE ENGINEERING,AERO SPACE ENGINEERING,34,3,NEW,,Aerospace Engineering,
CollegeFees,B TECH IN BIO- TECHNOLOGY,B TECH IN BIO- TECHNOLOGY,11,1,NEW,,Biotechnology,
CollegeFees,B TECH IN COMPUTER SCIENCE & ENGINEERING (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),B TECH IN COMPUTER SCIENCE & ENGINEERING (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),20,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
CollegeFees,B TECH IN COMPUTER SCIENCE AND ENGINEERING,B TECH IN COMPUTER SCIENCE AND ENGINEERING,22,1,NEW,,Computer Science and Engineering,
CollegeFees,B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING,B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING,12,1,NEW,,Electrical Engineering,
CollegeFees,B TECH IN ELECTRONICS & COMMUNICATIO N ENGINEERING,B TECH IN ELECTRONICS & COMMUNICATIO N ENGINEERING,20,1,NEW,,Electronics and Communication Engineering,
CollegeFees,B TECH IN MECHANICAL ENGINEERING,B TECH IN MECHANICAL ENGINEERING,9,1,NEW,,Mechanical Engineering,
CollegeFees,COMMUNICATIO N DESIGN,COMMUNICATIO N DESIGN,1,1,NEW,,Design,
CollegeFees,COMPUTER SCIENCE AND ENGG (ARTIFICIAL INTELLIGENCE),COMPUTER SCIENCE AND ENGG (ARTIFICIAL INTELLIGENCE),11,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
CollegeFees,COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING),COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING),101,10,NEW,,Artificial Intelligence / Machine Learning / Data Science,
CollegeFees,COMPUTER SCIENCE AND ENGG(INTERNE T OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),COMPUTER SCIENCE AND ENGG(INTERNE T OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),54,5,NEW,,Cyber Security,
CollegeFees,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),37,5,NEW,,Cyber Security,
CollegeFees,COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE),COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE),96,11,NEW,,Computer Science and Engineering,
CollegeFees,ELECTRICAL & ELECTRONICS ENGINEERING,ELECTRICAL & ELECTRONICS ENGINEERING,217,22,NEW,,Electrical Engineering,
CollegeFees,ELECTRONICS & COMPUTER ENGINEERING,ELECTRONICS & COMPUTER ENGINEERING,11,1,NEW,,Computer Science and Engineering,
CollegeFees,ELECTRONICS & INSTRUMENTATI ON ENGINEERING,ELECTRONICS & INSTRUMENTATI ON ENGINEERING,16,1,NEW,,Electronics Engineering,
CollegeFees,ELECTRONICS AND COMMUNICATIO N (ADVANCED COMMUNICATIO N TECHNOLOGY),ELECTRONICS AND COMMUNICATIO N (ADVANCED COMMUNICATIO N TECHNOLOGY),12,1,NEW,,Electronics and Communication Engineering,
CollegeFees,ELECTRONICS AND COMMUNICATIO N ENGG,ELECTRONICS AND COMMUNICATIO N ENGG,310,24,NEW,,Electronics and Communication Engineering,
CollegeFees,ELECTRONICS AND INSTRUMENTATI ON ENGINEERING,ELECTRONICS AND INSTRUMENTATI ON ENGINEERING,51,4,NEW,,Electronics Engineering,
CollegeFees,ELECTRONICS AND TELECOMMUNIC ATION ENGINEERING,ELECTRONICS AND TELECOMMUNIC ATION ENGINEERING,88,7,NEW,,Electronics and Communication Engineering,
CollegeFees,ELECTRONICS ENGINEERING(V LSI DESIGN & TECHNOLOGY),ELECTRONICS ENGINEERING(V LSI DESIGN & TECHNOLOGY),33,3,NEW,,Electronics Engineering,
CollegeFees,ENVIRONMENTA L ENGINEERING,ENVIRONMENTA L ENGINEERING,11,1,NEW,,Environmental Engineering,
CollegeFees,INDUSTRIAL & PRODUCTION ENGINEERING,INDUSTRIAL & PRODUCTION ENGINEERING,13,2,NEW,,Production / Industrial Engineering,
CollegeFees,INDUSTRIAL ENGINEERING & MANAGEMENT,INDUSTRIAL ENGINEERING & MANAGEMENT,57,5,NEW,,Production / Industrial Engineering,
CollegeFees,INFORMATION SCIENCE AND ENGINEERING,INFORMATION SCIENCE AND ENGINEERING,124,11,NEW,,Computer Science and Engineering,
CollegeFees,MEDICAL ELECTRONICS ENGINEERING,MEDICAL ELECTRONICS ENGINEERING,22,2,NEW,,Electronics Engineering,
