branch_clean,maps_to_branch_id,exams,total_rows,total_colleges,suggested_primary_branch,note
"B. Tech. (ME) - MBA (NITIE) (5 Years, Bachelor of Technology and MBA (Dual Degree))",MECHENG,JoSAA,42,1,Mechanical / Mechatronics Engineering ,
"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",ENGSCI,JoSAA,96,1,Engineering Science,
"B.Tech. (Elctrical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",ELEC,JoSAA,24,1,Electrical / Electronics / Communications Engineering,
CLOUD COMPUTING,CSIT,WBJEE,6,2,Computer Science / Information Technology,
"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",CSIT,JoSAA,72,1,Computer Science / Information Technology,
Integrated M.Sc. in Material Science and Engg,MEMS,OJEE,1,1,Metallurgy Engineering And Material Science,
Jute & Fibre Technology,TEXTILE,WBJEE,104,4,Textile Engineering,
LEATHER TECHNOLOGY,OTHER,TNEA,7,1,Textile Engineering,
Leather Technology,OTHER,WBJEE,94,2,Textile Engineering,
MATERIAL SCIENCE AND ENGINEERING,MEMS,TNEA,6,1,Metallurgy Engineering And Material Science,
Power Engineering,ENERGYENG,WBJEE,96,2,Energy Engineering,
Power Engineering/Power Plant Engineering,ENERGYENG,WBJEE,24,2,Energy Engineering,
RUBBER TECHNOLOGY,POLYMERTECH,GUJCET,4,1,Polymer Technology,
Semiconductor Technology,ELEC,WBJEE,5,2,Electrical / Electronics / Communications Engineering,
"Space Science and Engineering (4 Years, Bachelor of Technology)",SPACEENG,JoSAA,48,1,Space Engineering,
VIRTUAL REALITY (AR/VR),CSIT,WBJEE,2,1,Computer Science / Information Technology,
AERO SPACE ENGINEERING,AERO,CollegeFees; GUJCET; KCET,96,11,Aerospace Engineering,
Aircraft Maintenance Engineering,AERO,OJEE,2,1,Aerospace Engineering,
B TECH IN AERO SPACE ENGINEERING,AERO,KCET,50,4,Aerospace Engineering,
B TECH IN AERONAUTICAL ENGINEERING,AERO,KCET,1,1,Aerospace Engineering,
AGRICULTURAL TECHNOLOGY,AGRIENG,GUJCET,1,1,Agricultural Engineering,
AGRICULTURE ENGINEERING,AGRIENG,KCET,5,5,Agricultural Engineering,
Agriculture Engineering,AGRIENG,OJEE,8,5,Agricultural Engineering,
B TECH IN AGRICULTURAL ENGINEERING,AGRIENG,KCET,7,1,Agricultural Engineering,
B.Tech Agricultural Engineering,AGRIENG,KEAM,17,4,Agricultural Engineering,
B.Tech Agriculture Engineering,AGRIENG,KEAM,60,5,Agricultural Engineering,
B.Tech. (Agricultural Engg.),AGRIENG,KEAM,36,1,Agricultural Engineering,
B.Tech. (Agrl. Engg.),AGRIENG,KEAM,25,1,Agricultural Engineering,
"Digital Agriculture (4 Years, Bachelor of Technology)",AGRIENG,JoSAA,48,1,Agricultural Engineering,
"Animation and VFX (4 Years, Bachelor of Technology)",DESIGN,JoSAA,33,1,Design,
Cinematography,DESIGN,OJEE,1,1,Design,
Film Editing,DESIGN,OJEE,4,1,Design,
Architectural Engineering,ARCH,WBJEE,84,1,Architecture,
"Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",ARCH,JoSAA,363,1,Architecture,
B ARCH,ARCH,OJEE; WBJEE,25,6,Architecture,
B.ARCH,ARCH,WBJEE,14,3,Architecture,
Naval Architecture & Ship Building Engineering,ARCH,KEAM,61,3,Architecture,
Naval Architecture And Marine Engineering,ARCH,AP-EAPCET,22,1,Architecture,expanded from EAPCET code NAM (official course list)
"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ARCH,JoSAA,101,1,Architecture,
"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",ARCH,JoSAA,394,1,Architecture,
ARTIFICIAL INTELLIGENCE (AI),AIML,WBJEE,69,2,Artificial Intelligence / Machine Learning / Data Science,
ARTIFICIAL INTELLIGENCE ENGINEERING,AIML,KCET,1,1,Artificial Intelligence / Machine Learning / Data Science,
ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,AIML,GUJCET,33,7,Artificial Intelligence / Machine Learning / Data Science,
ARTIFICIAL INTELLIGENT(AI),AIML,OJEE,1,1,Artificial Intelligence / Machine Learning / Data Science,
AUGMENTED REALITY,AIML,WBJEE,1,1,Artificial Intelligence / Machine Learning / Data Science,
