block,item,variable_label,code,code_description
BLOCK_01,ITM_1,Sector,1,rural
BLOCK_01,ITM_1,Sector,2,urban
BLOCK_01,ITM_2,Type of Sample,1,central
BLOCK_01,ITM_2,Type of Sample,2,state
BLOCK_01,ITM_14,Survey Code,1,original
BLOCK_01,ITM_14,Survey Code,2,substitute
BLOCK_01,ITM_14,Survey Code,3,casualty
BLOCK_01,ITM_15,reason for substitution/casualty of the original household,1,informant busy
BLOCK_01,ITM_15,reason for substitution/casualty of the original household,2,members away from home
BLOCK_01,ITM_15,reason for substitution/casualty of the original household,3,informant non-cooperative
BLOCK_01,ITM_15,reason for substitution/casualty of the original household,9,others
BLOCK_02,ITM_5(i),Whether any remark has been entered by JSO/SE/SSO/SS in block 7/8,1,yes
BLOCK_02,ITM_5(i),Whether any remark has been entered by JSO/SE/SSO/SS in block 7/8,2,no
BLOCK_02,ITM_5(ii),Whether any remark has been entered by JSO/SE/SSO/SS in block 3.1-6.1,1,yes
BLOCK_02,ITM_5(ii),Whether any remark has been entered by JSO/SE/SSO/SS in block 3.1-6.1,2,no
BLOCK_02,ITM_7,Response code of the informant as assessed by SE/JSO,1,informant co-operative and capable
BLOCK_02,ITM_7,Response code of the informant as assessed by SE/JSO,2,informant co-operative but not capable
BLOCK_02,ITM_7,Response code of the informant as assessed by SE/JSO,3,informant busy
BLOCK_02,ITM_7,Response code of the informant as assessed by SE/JSO,4,informant reluctant
BLOCK_02,ITM_7,Response code of the informant as assessed by SE/JSO,9,others
BLOCK_03,COL_03,Relation to head,1,self
BLOCK_03,COL_03,Relation to head,2,spouse of head
BLOCK_03,COL_03,Relation to head,3,married child
BLOCK_03,COL_03,Relation to head,4,spouse of married child
BLOCK_03,COL_03,Relation to head,5,unmarried child
BLOCK_03,COL_03,Relation to head,6,grandchild
BLOCK_03,COL_03,Relation to head,7,father/mother/father-in-law/mother-in-law
BLOCK_03,COL_03,Relation to head,8,brother/ sister/ brother-in-law/ sister-in-law/ other relatives
BLOCK_03,COL_03,Relation to head,9,servant/ employees /other nonrelatives
BLOCK_03,COL_04,gender,1,male
BLOCK_03,COL_04,gender,2,female
BLOCK_03,COL_04,gender,3,transgender
BLOCK_03,COL_06,Whether currently enrolled in school education?,1,yes
BLOCK_03,COL_06,Whether currently enrolled in school education?,2,no
BLOCK_03,ITM_03,household type (for rural areas),1,self-employed in agriculture
BLOCK_03,ITM_03,household type (for rural areas),2,self-employed in non-agriculture
BLOCK_03,ITM_03,household type (for rural areas),3,regular wage/salary earning in agriculture
BLOCK_03,ITM_03,household type (for rural areas),4,regular wage/salary earning in non-agriculture
BLOCK_03,ITM_03,household type (for rural areas),5,casual labour in agriculture
BLOCK_03,ITM_03,household type (for rural areas),6,casual labour in non-agriculture
BLOCK_03,ITM_03,household type (for rural areas),9,others
BLOCK_03,ITM_03,household type (for urban areas),1,self-employed
BLOCK_03,ITM_03,household type (for urban areas),2,regular wage/salary earning
BLOCK_03,ITM_03,household type (for urban areas),3,casual labour
