item_group,item_id,dimension,label,note
1,1,social_category,General,
1,2,social_category,Scheduled Caste,
1,3,social_category,Scheduled Tribe,
1,4,social_category,Other Backward Classes,
2,5,religion,Muslim,
2,6,religion,Christian,
2,7,religion,Sikh,
2,8,religion,Buddhist,
2,9,religion,Parsi,
2,10,religion,Jain,
3,13,economic,BPL,"Below Poverty Line — the school-level poverty marker AISHE has no equivalent for"
4,1,disability,Blindness,
4,2,disability,Low-Vision,
4,3,disability,Hearing impairment (deaf and hard of hearing),
4,4,disability,Speech and Language,
4,5,disability,Locomotor Disability,
4,6,disability,Mental illness,
4,7,disability,Specific Learning Disabilities,
4,8,disability,Cerebral palsy,"codebook spells it 'Cerabral palsy'"
4,9,disability,Autism Spectrum Disorder,
4,10,disability,"Multiple Disability including deaf, blindness",
4,11,disability,Leprosy Cured students,
4,12,disability,Dwarfism,
4,13,disability,Intellectual Disability,
4,14,disability,Muscular Dystrophy,
4,15,disability,Chronic Neurological conditions,
4,16,disability,Multiple Sclerosis,
4,17,disability,Thalassemia,
4,18,disability,Hemophilia,
4,19,disability,Sickle Cell disease,
4,20,disability,Acid Attack victim,
4,21,disability,,"UNDOCUMENTED. The codebooks list item_ids 1-20 for item_group=4; the data carries a 21st. Present in 2022-23 (1,460 schools, 1,681 students). No label is given because none is published — do not guess one. It is included in a SUM over item_group=4."
5,0,status,Repeater student,
10,32,economic,EWS,"Economically Weaker Section enrolment in the school"
